"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"H2BP2",27.6306459119308,2.86879671754589,0.445188236171428,6.44400836423091,1.16358667983146e-10,2.97723045146209e-08
"LINC01800",16.7692233293087,0.434650106198569,0.336116894526278,1.29315161860924,0.195958625146762,0.358564578456864
"SYNE1-AS1",5.37862971663758,-0.44337409726229,0.340921431288875,-1.30051694194198,0.193423853473288,0.355641456299242
"CCT6P3",131.010718834644,0.201786583827612,0.137451443625656,1.46805721718842,0.142088681482484,0.284424387793692
"MAPKAPK5-AS1",206.188716003145,-0.0864245424438111,0.0807176295398229,-1.07070218657961,0.284303359313035,0.463008328024086
"C2CD4D-AS1",55.3514597018863,-0.45841825980994,0.215736829545039,-2.12489569248183,0.0335953174864032,0.0981383146901927
"JRK",701.522453540026,-0.0349867573836731,0.0995516208695035,-0.35144337257487,0.725255748338797,0.832105494133119
"SNRK-AS1",79.8495227476822,-0.0954868711259144,0.122370387718308,-0.780310276908835,0.435208265162764,0.606693863440167
"RPSAP9",10.2667660819928,-0.136095168899701,0.21374143637665,-0.636728054264019,0.524301996514958,0.684368346885073
"RPL7P11",14.2867683609922,-0.310570422777193,0.192313159615115,-1.61492028625993,0.106327958510611,0.230779485348237
"NECAP1P2",11.9192526676068,-0.585598077157392,0.246316673917675,-2.37741955444361,0.0174342453749044,0.0595308129438462
"MED14OS",10.4418121223529,0.114553260592729,0.209557784921967,0.546642829973532,0.584624138064921,0.73055809916209
"RPS19P6",4.05860960863097,0.418259153527564,0.532543789645748,0.785398612583188,0.432219893972725,0.60406382948376
"YWHAEP5",2.98018754955523,0.574436853141921,0.362749077882332,1.58356530220665,0.1132926751639,0.24140869100345
"PCCA-AS1",52.1454530878434,-0.316258676843159,0.134034173930747,-2.35953762811687,0.0182977251050396,0.0617920536323289
"LINC01934",489.479078816601,-0.558640082651303,0.153172934370144,-3.64712006692608,0.00026519602234407,0.00224354665780281
"HMGN2P5",2.96722651522415,-0.133511572979288,0.357029716899757,-0.373950869240315,0.708440869250157,0.82082899809271
"LERFS",15.5673322088704,-0.39509045499069,0.727922536378544,-0.542764422374237,0.587292011911964,0.732619998111393
"ELF3-AS1",174.820182467913,0.463389345364948,0.130005208709631,3.56439061145571,0.000364702505415272,0.00287025608157993
